千锋教育-北京大数据1702期学员-贾同学-薪资20k,大数据,5:18,9,0,2018/6/22,丽丽比比666,http://www.bilibili.com/video/av25366759?from=search&seid=7804432647464213574
千锋大数据教程：8、方法和函数的声明以及方法转换成函数-1,大数据,18:01,1,0,2018/6/16,ww我看看66,http://www.bilibili.com/video/av24994690?from=search&seid=7804432647464213574
2019最新Webpack4.0教程【千锋Web前端】,h5,1:57:51,9840,81,2019/5/5,千锋教育,http://www.bilibili.com/video/av51579321?from=search&seid=7804432647464213574
千锋大数据教程：7、补充：sparkstreaming依赖-1,大数据,0:59,1,0,2018/6/18,aoudenu865,http://www.bilibili.com/video/av25143189?from=search&seid=7804432647464213574
（进阶）Electron-HTML+CSS+JS构建跨平台桌面应用程序【千锋Web前端】,h5,3:46:34,18,0,2019/12/2,佐藤Edward,http://www.bilibili.com/video/av77855940?from=search&seid=7804432647464213574
千锋教育扣丁学堂Python视频教程-python中string类型常用函数的使用,python,20:51,1,0,2019/9/12,扣丁学堂,http://www.bilibili.com/video/av67451558?from=search&seid=7804432647464213574
千锋大数据教程：6、scala的7种值类型和条件表达式-1,大数据,8:32,1,0,2018/6/8,欧洋666,http://www.bilibili.com/video/av24531530?from=search&seid=7804432647464213574
千锋扣丁学堂Python视频教程-项目拆分-2,python,11:29,1,0,2019/8/21,扣丁学堂,http://www.bilibili.com/video/av64704804?from=search&seid=7804432647464213574
千锋教育-武汉HTML5-1705期学员-黄玮琦-薪资8.5K,h5,4:58,1,0,2018/5/24,啊啊哦哦888,http://www.bilibili.com/video/av23863546?from=search&seid=7804432647464213574
千锋大数据教程：7、创建driveractor和clientactor的过程-1,大数据,13:37,1,0,2018/6/15,丽丽比比666,http://www.bilibili.com/video/av24907993?from=search&seid=7773596992943595055
千锋教育-北京大数据1702期学员-贾同学-薪资20k,大数据,5:18,1,0,2018/6/22,哦哦YY666,http://www.bilibili.com/video/av25360488?from=search&seid=7773596992943595055
数据分析和人工智能教程全套【2019千锋Python】,python,76:19:41,17000,138,2019/5/12,千锋教育,http://www.bilibili.com/video/av52278330?from=search&seid=7773596992943595055
千锋扣丁学堂HTML5视频教程-事件处理器,h5,19:45,5,0,2019/8/15,扣丁学堂,http://www.bilibili.com/video/av63833092?from=search&seid=7773596992943595055
（高级）【千锋Web前端】Angular4从入门到实战（76集）,h5,5:06:15,8,0,2019/12/3,佐藤Edward,http://www.bilibili.com/video/av77863843?from=search&seid=7773596992943595055
千锋大数据教程：2、spark任务提交流程-1,大数据,5:50,1,0,2018/6/17,aoudenu865,http://www.bilibili.com/video/av25092297?from=search&seid=7773596992943595055
【千锋好程序员】 2019最新版Python 445集（美女老师亲授）,python,203:12:16,3941,3,2019/11/1,逆风微笑的代码狗,http://www.bilibili.com/video/av71842939?from=search&seid=7773596992943595055
千锋大数据教程：13、task任务执行流程-1,大数据,10:57,1,0,2018/6/11,欧洋666,http://www.bilibili.com/video/av24683436?from=search&seid=7773596992943595055
数据分析和人工智能教程全套【2019千锋Python】（1-80集）,python,45:15:57,7897,6,2019/7/8,GalileoHua,http://www.bilibili.com/video/av58344913?from=search&seid=7773596992943595055
千锋大数据教程：3、集群启动流程-master类-1,大数据,23:17,1,0,2018/6/18,aoudenu865,http://www.bilibili.com/video/av25143648?from=search&seid=7773596992943595055
千锋大数据教程：7、for循环-1,大数据,13:15,1,0,2018/6/8,欧洋666,http://www.bilibili.com/video/av24531548?from=search&seid=7773596992943595055
千锋大数据教程：1、sparkstreaming简介-1,大数据,9:09,4,0,2018/6/20,哦哦抗旱666,http://www.bilibili.com/video/av25230090?from=search&seid=7773596992943595055
2019千锋JAVA面试题全集，看完就会,java,10:28:35,4195,26,2019/10/14,千锋教育,http://www.bilibili.com/video/av71235432?from=search&seid=7773596992943595055
千锋扣丁学堂HTML5视频教程-组件自定义事件,h5,16:31,2,0,2019/8/15,扣丁学堂,http://www.bilibili.com/video/av63831300?from=search&seid=7773596992943595055
千锋扣丁学堂Python视频教程-模型元信息，AOP钩子-2,python,21:11,2,0,2019/8/21,扣丁学堂,http://www.bilibili.com/video/av64705285?from=search&seid=7773596992943595055
2019千锋Python超详细入门教程（笔记+课件+源码）,python,77:26:13,13000,75,2019/3/27,千锋教育,http://www.bilibili.com/video/av47451456?from=search&seid=7773596992943595055
千锋大数据教程：5、函数式编程之aggregate-1,大数据,7:20,2,0,2018/6/19,哦哦抗旱666,http://www.bilibili.com/video/av25223149?from=search&seid=7773596992943595055
千锋扣丁学堂html5视频教程-updateready事件,h5,14:22,0,0,2019/8/27,扣丁学堂,http://www.bilibili.com/video/av65568803?from=search&seid=7773596992943595055
千锋教育-北京HTML5就业1709期学员-徐同学-薪资16K,h5,6:05,6,0,2018/6/22,哦哦YY666,http://www.bilibili.com/video/av25358184?from=search&seid=7773596992943595055
NodeJS+Express+MongoDB实战项目【千锋Web前端】,h5,2:40:17,790,0,2019/11/19,千锋教育,http://www.bilibili.com/video/av76294539?from=search&seid=7773596992943595055
千锋大数据教程：5、apply和unapply方法-1,大数据,23:05,1,0,2018/6/17,aoudenu865,http://www.bilibili.com/video/av25086890?from=search&seid=1773859434893842546
千锋大数据教程：3、集群启动流程-master类-1,大数据,23:17,1,0,2018/6/16,ww我看看66,http://www.bilibili.com/video/av25005877?from=search&seid=1773859434893842546
